,b0,b1,b2,b3,dt,stationId,w
85,81,79,78,70,2017-06-23 13:00:30.659,480049000c51343334363138,0
86,84,80,77,69,2017-06-23 17:10:29.883,480049000c51343334363138,0
87,79,78,74,68,2017-06-23 21:20:28.248,480049000c51343334363138,0
88,81,78,77,70,2017-06-24 01:30:27.444,480049000c51343334363138,0
89,79,78,76,70,2017-06-24 05:40:24.542,480049000c51343334363138,0
90,78,77,76,69,2017-06-24 09:50:24.140,480049000c51343334363138,0
91,83,80,78,70,2017-06-24 14:00:22.591,480049000c51343334363138,0
92,86,82,78,68,2017-06-24 18:10:22.126,480049000c51343334363138,0
93,80,79,76,68,2017-06-24 22:20:20.411,480049000c51343334363138,0
94,81,78,77,70,2017-06-25 02:30:19.726,480049000c51343334363138,0
95,78,78,76,70,2017-06-25 06:40:18.704,480049000c51343334363138,0
96,78,77,75,69,2017-06-25 10:55:19.027,480049000c51343334363138,0
97,81,79,79,69,2017-06-25 15:10:36.013,480049000c51343334363138,0
98,60,60,56,48,2017-05-13 03:50:46.342,480049000c51343334363138,0
99,60,59,56,48,2017-05-13 12:11:01.371,480049000c51343334363138,0
100,60,60,57,50,2017-06-08 20:05:04.529,480049000c51343334363138,0
101,60,59,56,50,2017-06-09 05:30:34.685,480049000c51343334363138,0
102,77,75,71,64,2017-06-09 17:35:34.137,480049000c51343334363138,0
103,94,78,74,67,2017-06-09 21:55:33.357,480049000c51343334363138,0
104,81,77,74,67,2017-06-10 02:05:32.696,480049000c51343334363138,0
105,79,77,74,67,2017-06-10 06:15:31.148,480049000c51343334363138,0
106,80,77,74,67,2017-06-10 10:25:29.375,480049000c51343334363138,0
107,100,78,74,67,2017-06-10 14:35:29.359,480049000c51343334363138,0
108,81,79,77,69,2017-06-16 15:50:35.264,480049000c51343334363138,0
109,80,79,75,68,2017-06-16 20:00:33.802,480049000c51343334363138,0
110,79,78,77,68,2017-06-17 00:10:32.750,480049000c51343334363138,0
111,79,78,76,69,2017-06-17 04:20:32.087,480049000c51343334363138,0
