File,Whistle,maxSNR1,bins1,maxSNR2,bins2,maxSNR3,bins3
2017-11-02T211500_0004e9e500057249_2.0.wav,0,33.765442,63,15.274319,4,4.464101,0
2017-11-02T212000_0004e9e500057249_2.0.wav,0,21.491882,77,12.77198,1,4.206837,0
2017-11-02T215500_0004e9e500057249_2.0.wav,0,17.938275,35,10.113519,1,3.740191,0
2017-11-02T222500_0004e9e500057249_2.0.wav,0,19.579835,36,10.153698,1,4.888411,0
2017-11-02T224000_0004e9e500057249_2.0.wav,0,21.071049,22,10.373236,1,3.530869,0
2017-11-02T225500_0004e9e500057249_2.0.wav,0,16.360779,14,9.037192,0,3.285959,0
2017-11-02T230000_0004e9e500057249_2.0.wav,0,13.068507,9,7.613969,0,2.9097,0
2017-11-02T230500_0004e9e500057249_2.0.wav,0,18.755984,7,10.375699,1,4.333338,0
2017-11-02T231000_0004e9e500057249_2.0.wav,0,17.882957,30,9.28272,0,3.962129,0
2017-11-02T231500_0004e9e500057249_2.0.wav,0,20.229797,37,8.79856,0,4.465127,0
2017-11-02T232000_0004e9e500057249_2.0.wav,0,14.901326,12,7.949374,0,3.627025,0
2017-11-02T232500_0004e9e500057249_2.0.wav,0,20.53276,15,9.440539,0,3.423224,0
2017-11-02T233000_0004e9e500057249_2.0.wav,0,16.734324,19,8.229877,0,3.70227,0
2017-11-02T233500_0004e9e500057249_2.0.wav,0,20.078616,19,10.805644,2,3.744815,0
2017-11-02T234000_0004e9e500057249_2.0.wav,0,17.600476,15,7.603913,0,2.973945,0
2017-11-02T234500_0004e9e500057249_2.0.wav,0,15.179904,44,9.127683,0,3.90756,0
2017-11-02T235000_0004e9e500057249_2.0.wav,0,16.591121,30,8.493097,0,3.204582,0
2017-11-02T235500_0004e9e500057249_2.0.wav,0,20.194676,23,11.502933,1,3.844099,0
2017-11-03T000000_0004e9e500057249_2.0.wav,0,23.431897,32,12.240259,2,4.6316,0
2017-11-03T000500_0004e9e500057249_2.0.wav,0,15.759778,13,8.621863,0,3.228928,0
2017-11-03T001000_0004e9e500057249_2.0.wav,0,25.313333,23,14.602777,1,4.315568,0
2017-11-03T001500_0004e9e500057249_2.0.wav,0,13.165113,23,7.701488,0,3.282615,0
2017-11-03T002000_0004e9e500057249_2.0.wav,0,24.113943,23,15.917989,1,4.59119,0
2017-11-03T002500_0004e9e500057249_2.0.wav,0,22.405457,21,10.608074,1,3.760135,0
2017-11-03T003000_0004e9e500057249_2.0.wav,0,15.077519,18,6.962408,0,2.951516,0
2017-11-03T004000_0004e9e500057249_2.0.wav,0,18.940505,14,10.911117,1,3.781307,0
2017-11-03T004500_0004e9e500057249_2.0.wav,0,18.978842,13,10.088374,1,3.341223,0
2017-11-03T005000_0004e9e500057249_2.0.wav,0,18.842603,11,9.333479,0,3.476599,0
2017-11-03T005500_0004e9e500057249_2.0.wav,0,12.676553,10,6.628037,0,2.886769,0
2017-11-03T010000_0004e9e500057249_2.0.wav,0,13.961379,15,9.088758,0,3.404604,0
2017-11-03T010500_0004e9e500057249_2.0.wav,0,17.535229,13,9.688883,0,4.325364,0
